year,team,talent
2023,Cal Poly,94.82
2023,Hampton,91.03
2023,Bethune-Cookman,89.46
2023,North Carolina A&T,88.34
2023,Eastern Illinois,85.97
2023,Central Arkansas,84.99
2023,Sacramento State,83.86
2023,Eastern Washington,81.05
2023,Gardner-Webb,80.81
2023,Indiana State,80.56
2023,Murray State,80
2023,Houston Christian,78.5
2023,Western Illinois,78.14
2023,UC Davis,77.46
2023,Portland State,73.81
2023,Mercer,73.53
2023,Campbell,73.06
2023,Norfolk State,72.32
2023,Western Carolina,70.13
2023,Towson,66.95
2023,North Dakota State,63.21
2023,Elon,62.31
2023,UAlbany,62.15
2023,Youngstown State,61.05
2023,Weber State,59.72
2023,Kennesaw State,58.84
2023,Nicholls,57.04
2023,Furman,56.18
2023,Maine,54.85
2023,McNeese,53
2023,Monmouth,52.49
2023,Idaho,47.44
2023,Robert Morris,46.99
2023,Bryant,45.14
2023,Central Connecticut,44.75
2023,Fordham,42.87
2023,Wofford,42.55
2023,Tennessee Tech,34.79
2023,South Carolina State,33.04
2023,Arkansas-Pine Bluff,32.77
2023,Howard,31.25
2023,Southeast Missouri State,30.08
2023,Delaware State,28.74
2023,San Diego,26.78
2023,Richmond,26.51
2023,The Citadel,26.4
2023,Wagner,26.18
2023,Bucknell,25.64
2023,North Carolina Central,25.46
2023,South Dakota State,23.58
2023,Lafayette,22.41
2023,Butler,20.61
2023,Lehigh,18.7
2023,Sacred Heart,17.99
2023,Jacksonville,17.99
2023,Texas Southern,17.36
2023,Saint Francis,16.89
2023,New Hampshire,16.21
2023,Charleston Southern,16.1
2023,Princeton,16.08
2023,Idaho State,14.47
2023,North Dakota,14.37
2023,Morehead State,13.5
2023,Pennsylvania,12.03
2023,Holy Cross,11.16
2023,Drake,10.98
2023,Yale,8.97
2023,Presbyterian,8.66
2023,Villanova,4.33
2023,Air Force,0
2023,Army,0
2023,Navy,0
2024,Alabama,1018.28
2024,Georgia,1006.89
2024,Ohio State,998.62
2024,Texas,953.95
2024,Clemson,924.63
2024,Oregon,916.71
2024,Texas A&M,914.52
2024,Oklahoma,906.61
2024,LSU,906.19
2024,Notre Dame,905.52
2024,Penn State,895.31
2024,Florida,894.24
2024,Florida State,879.48
2024,Miami,868.15
2024,USC,863.09
2024,Michigan,859.21
2024,Tennessee,858.67
2024,Auburn,833.61
2024,Missouri,807.36
2024,Ole Miss,801.66
2024,South Carolina,798.18
2024,North Carolina,794.99
2024,Nebraska,790.42
2024,Kentucky,788.36
2024,SMU,788.22
2024,Arkansas,779.17
2024,Wisconsin,771.35
2024,TCU,766.5
2024,UCLA,758.87
2024,Arizona State,757.02
2024,Colorado,749.16
2024,UCF,746.3
2024,Utah,745.21
2024,Mississippi State,743.77
2024,Washington,741.11
2024,Louisville,739.28
2024,Purdue,738.93
2024,Texas Tech,732.07
2024,Iowa,723.51
2024,NC State,722.41
2024,Michigan State,721.75
2024,Stanford,719.43
2024,Pittsburgh,713.74
2024,Baylor,709.46
2024,Minnesota,705.22
2024,Georgia Tech,703
2024,California,702.38
2024,Syracuse,698.59
2024,Kansas,696.92
2024,Vanderbilt,695.96
2024,Maryland,695.59
2024,Virginia Tech,695.42
2024,Oklahoma State,687.76
2024,West Virginia,684.9
2024,Northwestern,675.78
2024,Arizona,672.7
2024,Indiana,668.92
2024,Boston College,667.91
2024,Rutgers,663.55
2024,Cincinnati,662.34
2024,Virginia,662.28
2024,Tulane,654.07
2024,Illinois,653.75
2024,Kansas State,651.75
2024,Charlotte,648.28
2024,Houston,646.7
2024,UTSA,644.36
2024,Iowa State,642.12
2024,South Florida,641.02
2024,Duke,635.89
2024,Wake Forest,635.45
2024,Memphis,633.44
2024,Oregon State,626.97
2024,East Carolina,611.66
2024,Washington State,610.54
2024,San Diego State,608.95
2024,Boise State,608.26
2024,BYU,602.46
2024,North Texas,595.42
2024,Florida Atlantic,592.16
2024,Marshall,587.22
2024,Massachusetts,585.57
2024,UAB,583.23
2024,App State,575.31
2024,UNLV,575.16
2024,Arkansas State,573.27
2024,Toledo,571.92
2024,Liberty,569.65
2024,Fresno State,568.31
2024,Southern Miss,565.51
2024,Georgia State,564.88
2024,Coastal Carolina,557.61
2024,Tulsa,556.71
2024,South Alabama,554.77
2024,Louisiana,553.39
2024,Western Michigan,547.19
2024,Colorado State,546.04
2024,Utah State,543.56
2024,Texas State,540.17
2024,Rice,538.4
2024,UConn,537.91
2024,Akron,537.82
2024,Louisiana Tech,533.72
2024,Temple,532.46
2024,Georgia Southern,527.99
2024,Nevada,525.22
2024,Western Kentucky,518.88
2024,Hawai'i,513.7
2024,Eastern Michigan,508.73
2024,Miami (OH),505.3
2024,Florida International,504.39
2024,Middle Tennessee,503.43
2024,Troy,499.56
2024,Sam Houston,488.03
2024,Bowling Green,484.51
2024,San José State,480.29
2024,Central Michigan,467.22
2024,New Mexico,464.59
2024,Ball State,464.07
2024,James Madison,459.14
2024,UTEP,455.97
2024,Wyoming,455.45
2024,Ohio,450.55
2024,Northern Illinois,437.2
2024,Kent State,435.3
2024,Buffalo,435.22
2024,Jacksonville State,430.94
2024,Old Dominion,428.91
2024,New Mexico State,370.2
2024,UL Monroe,329.43
2024,Kennesaw State,288.14
2024,Air Force,0
2024,Navy,0
2024,Army,0
2025,Georgia,1002.98
2025,Alabama,993.55
2025,Ohio State,973.69
2025,Texas,973.54
2025,Oregon,941.22
2025,LSU,920.05
2025,Clemson,918.43
2025,Texas A&M,917.29
2025,Notre Dame,912.11
2025,Penn State,910.42
2025,Michigan,907.22
2025,Florida,898.58
2025,Auburn,891.84
2025,Oklahoma,882.59
2025,Miami,874.57
2025,Tennessee,866.57
2025,USC,847.53
2025,South Carolina,833.26
2025,Florida State,828.45
2025,Nebraska,821.39
2025,Ole Miss,813.11
2025,Missouri,804.77
2025,Arkansas,772.64
2025,Mississippi State,770.48
2025,SMU,766.67
2025,UCLA,766.62
2025,Kentucky,763.18
2025,Wisconsin,763.17
2025,Texas Tech,757.49
2025,Colorado,755.2
2025,North Carolina,753.2
2025,TCU,745.01
2025,Arizona State,738.52
2025,Syracuse,727.83
2025,Baylor,726.3
2025,California,726.21
2025,Washington,720.56
2025,Michigan State,717.42
2025,Georgia Tech,715.56
2025,Virginia Tech,712.19
2025,Minnesota,711.04
2025,Iowa,710
2025,UCF,709.99
2025,Utah,707.86
2025,NC State,707.51
2025,Stanford,707.27
2025,Kansas State,705.85
2025,Kansas,705.32
2025,Oklahoma State,702.74
2025,Louisville,700.77
2025,UNLV,700.54
2025,Maryland,699.31
2025,Rutgers,689.22
2025,Purdue,687.74
2025,Vanderbilt,685.42
2025,Pittsburgh,681.21
2025,Northwestern,677.97
2025,Duke,669.18
2025,Memphis,668.63
2025,Oregon State,667.99
2025,South Florida,666.89
2025,Virginia,666.74
2025,West Virginia,662.33
2025,Illinois,662.13
2025,UTSA,662.09
2025,Houston,656.74
2025,Arizona,651.62
2025,Tulane,650.87
2025,Boston College,650.12
2025,BYU,649.36
2025,Iowa State,648.93
2025,Indiana,645.34
2025,Cincinnati,644.1
2025,Wake Forest,627.16
2025,Toledo,620.13
2025,Texas State,612.16
2025,Georgia State,611.97
2025,East Carolina,611.55
2025,App State,611.31
2025,Coastal Carolina,610.88
2025,Boise State,610.65
2025,Florida Atlantic,605.22
2025,Southern Miss,602.53
2025,Liberty,599.12
2025,Tulsa,594.78
2025,San Diego State,594.27
2025,Miami (OH),592.1
2025,Arkansas State,591.27
2025,Marshall,590.64
2025,Fresno State,586.84
2025,Louisiana,585.82
2025,Colorado State,583.71
2025,Georgia Southern,574.48
2025,Eastern Michigan,572.9
2025,Washington State,569.46
2025,North Texas,569.15
2025,UConn,568.12
2025,Florida International,562.61
2025,Troy,561.87
2025,Western Kentucky,561.36
2025,UTEP,551.88
2025,South Alabama,544.87
2025,UAB,540.93
2025,Akron,537.21
2025,Western Michigan,534.35
2025,Rice,530.06
2025,Bowling Green,527.31
2025,Charlotte,526.3
2025,San José State,522.91
2025,Middle Tennessee,520.55
2025,Jacksonville State,519.93
2025,Buffalo,513.33
2025,Temple,507.91
2025,Utah State,503.59
2025,Ball State,495.35
2025,Louisiana Tech,493.5
2025,Wyoming,489.33
2025,Massachusetts,488.73
2025,Nevada,488.69
2025,Hawai'i,481.2
2025,Central Michigan,481.16
2025,Old Dominion,477.45
2025,Sam Houston,477.35
2025,UL Monroe,473.34
2025,Northern Illinois,471.01
2025,Ohio,469.99
2025,James Madison,459.53
2025,Kent State,456.24
2025,Missouri State,426.1
2025,New Mexico State,402.9
2025,New Mexico,378.8
2025,Kennesaw State,338.87
2025,Delaware,242.85
2025,Army,23.66
2026,Georgia,1003.67
2026,Texas,985.17
2026,Oregon,984.33
2026,Alabama,973.53
2026,Ohio State,964.27
2026,Notre Dame,953.03
2026,Texas A&M,933
2026,LSU,931.76
2026,USC,899
2026,Florida,891.07
2026,Michigan,890.02
2026,Miami,885.94
2026,Tennessee,885.9
2026,Ole Miss,885.72
2026,South Carolina,862.87
2026,Clemson,862.85
2026,Oklahoma,851.14
2026,Auburn,828.19
2026,Missouri,808.36
2026,Mississippi State,804.53
2026,Florida State,800.2
2026,Nebraska,787.45
2026,Kentucky,786.65
2026,Washington,777.63
2026,UCLA,774.45
2026,Penn State,774.04
2026,Virginia Tech,769.12
2026,North Carolina,767.89
2026,Texas Tech,767.89
2026,Wisconsin,767.68
2026,SMU,764.5
2026,NC State,757.14
2026,California,751.92
2026,Georgia Tech,751.65
2026,Syracuse,745.61
2026,Arkansas,745.48
2026,Louisville,739.97
2026,Indiana,735.26
2026,Colorado,731.62
2026,TCU,730.79
2026,Minnesota,728.79
2026,Vanderbilt,727.39
2026,Baylor,723.28
2026,Iowa,722.73
2026,Arizona State,722
2026,Maryland,719.64
2026,Kansas State,718.67
2026,Rutgers,709.04
2026,West Virginia,707.6
2026,Stanford,705.81
2026,Illinois,704.01
2026,South Florida,703.81
2026,Virginia,700.18
2026,Arizona,699.59
2026,Purdue,698.33
2026,UNLV,696.03
2026,Houston,695.93
2026,Utah,695.72
2026,BYU,689.42
2026,Northwestern,688.32
2026,Michigan State,685.02
2026,Kansas,684.51
2026,Wake Forest,680.87
2026,Pittsburgh,675.02
2026,Oklahoma State,672.69
2026,UCF,672.14
2026,Memphis,670.31
2026,Iowa State,669.55
2026,Duke,668.47
2026,Tulane,665.11
2026,Boston College,660
2026,UTSA,655.82
2026,UConn,652.56
2026,Boise State,641.17
2026,Colorado State,640.31
2026,Oregon State,635.79
2026,Cincinnati,634.28
2026,Georgia Southern,634.19
2026,Liberty,633.35
2026,Temple,631.07
2026,Washington State,630.29
2026,Texas State,624.81
2026,East Carolina,623.79
2026,Tulsa,622.84
2026,App State,621.61
2026,Miami (OH),621.37
2026,Western Kentucky,611.52
2026,Fresno State,609.75
2026,San Diego State,609.22
2026,Florida International,607.56
2026,Arkansas State,606.22
2026,UAB,606.18
2026,Jacksonville State,602.83
2026,Southern Miss,602.63
2026,North Texas,602.08
2026,Troy,596.19
2026,Marshall,594.71
2026,Florida Atlantic,593.36
2026,Louisiana,590.94
2026,Rice,589.89
2026,James Madison,588.31
2026,UTEP,585.76
2026,Eastern Michigan,580.64
2026,Charlotte,576.77
2026,Coastal Carolina,573.96
2026,Georgia State,573.83
2026,South Alabama,573.38
2026,Western Michigan,572.2
2026,Middle Tennessee,571.5
2026,San José State,569.25
2026,Bowling Green,568.33
2026,New Mexico,568.19
2026,Ball State,563.88
2026,Sacramento State,561.42
2026,Hawai'i,556.82
2026,Toledo,556.26
2026,Sam Houston,554.47
2026,Nevada,549.99
2026,Missouri State,549.92
2026,Buffalo,549.31
2026,Akron,546.84
2026,Old Dominion,544.25
2026,Utah State,543.98
2026,Louisiana Tech,543.02
2026,Central Michigan,540.01
2026,Northern Illinois,536.58
2026,Wyoming,528.29
2026,Massachusetts,525.94
2026,Ohio,522.84
2026,Kent State,522.83
2026,North Dakota State,515.59
2026,UL Monroe,505.49
2026,Kennesaw State,502.86
2026,Delaware,483.48
2026,New Mexico State,460.38
2026,Army,303.83
2026,Air Force,272.35
2026,Navy,195.68
